"","soil_year","mod.q","rep.q","max.q","size","web","soil","year","q.norm"
"154","ns_2014",0.5609,4,0.748,100,"ns_2014","ns",2014,0.749866310160428
"155","ns_2014",0.5452,5,0.7454,100,"ns_2014","ns",2014,0.731419372149182
"156","ns_2014",0.5736,6,0.7348,100,"ns_2014","ns",2014,0.780620577027763
"157","ns_2014",0.6244,7,0.7478,100,"ns_2014","ns",2014,0.834982615672639
"158","ns_2014",0.5523,8,0.735,100,"ns_2014","ns",2014,0.751428571428571
"159","ns_2014",0.6006,9,0.7368,100,"ns_2014","ns",2014,0.81514657980456
"160","ns_2014",0.577,10,0.7448,100,"ns_2014","ns",2014,0.774704618689581
"161","ns_2014",0.502222222222222,1,0.744852607709751,105,"ns_2014","ns",2014,0.674257184607891
"162","ns_2014",0.530702947845805,2,0.739410430839002,105,"ns_2014","ns",2014,0.717737978410206
"163","ns_2014",0.571609977324263,3,0.741768707482993,105,"ns_2014","ns",2014,0.770604059672292
"164","ns_2014",0.569705215419501,4,0.743219954648526,105,"ns_2014","ns",2014,0.766536490114718
"165","ns_2014",0.555283446712018,5,0.739773242630386,105,"ns_2014","ns",2014,0.750613045610593
"166","ns_2014",0.586848072562358,6,0.737959183673469,105,"ns_2014","ns",2014,0.795231071779745
"167","ns_2014",0.590748299319728,7,0.742131519274376,105,"ns_2014","ns",2014,0.796015644096798
"168","ns_2014",0.571065759637188,8,0.745396825396825,105,"ns_2014","ns",2014,0.766123144317352
"169","ns_2014",0.547392290249433,9,0.740680272108844,105,"ns_2014","ns",2014,0.739039921626255
"170","ns_2014",0.610612244897959,10,0.739773242630385,105,"ns_2014","ns",2014,0.825404610102992
"171","ns_2014",0.51099173553719,1,0.740495867768595,110,"ns_2014","ns",2014,0.690066964285714
"172","ns_2014",0.625454545454546,2,0.746942148760331,110,"ns_2014","ns",2014,0.837353396769197
"173","ns_2014",0.588842975206612,3,0.740661157024794,110,"ns_2014","ns",2014,0.795023432269582
"174","ns_2014",0.567190082644628,4,0.716528925619835,110,"ns_2014","ns",2014,0.791580161476355
"175","ns_2014",0.582396694214876,5,0.740330578512397,110,"ns_2014","ns",2014,0.786671131949096
"176","ns_2014",0.521900826446281,6,0.746611570247934,110,"ns_2014","ns",2014,0.699025902147443
"177","ns_2014",0.583223140495868,7,0.741818181818181,110,"ns_2014","ns",2014,0.786207664884136
"178","ns_2014",0.563223140495868,8,0.73504132231405,110,"ns_2014","ns",2014,0.766246908027884
"179","ns_2014",0.572561983471074,9,0.727768595041322,110,"ns_2014","ns",2014,0.786736316148081
"180","ns_2014",0.535619834710744,10,0.746611570247934,110,"ns_2014","ns",2014,0.717400929820678
"181","ns_2014",0.604007561436673,1,0.74601134215501,115,"ns_2014","ns",2014,0.809649300628421
"182","ns_2014",0.543894139886579,2,0.744650283553875,115,"ns_2014","ns",2014,0.730402112103981
"183","ns_2014",0.566049149338374,3,0.724839319470699,115,"ns_2014","ns",2014,0.780930523680367
"184","ns_2014",0.567258979206049,4,0.746162570888469,115,"ns_2014","ns",2014,0.76023510336441
"185","ns_2014",0.575954631379962,5,0.739962192816635,115,"ns_2014","ns",2014,0.778356836296751
"186","ns_2014",0.582684310018904,6,0.745557655954632,115,"ns_2014","ns",2014,0.781541582150101
"187","ns_2014",0.540567107750473,7,0.725746691871455,115,"ns_2014","ns",2014,0.744842675557408
"188","ns_2014",0.586389413988658,8,0.724083175803403,115,"ns_2014","ns",2014,0.80983709273183
"189","ns_2014",0.542759924385633,9,0.742079395085066,115,"ns_2014","ns",2014,0.731404116568168
"190","ns_2014",0.587069943289225,10,0.749035916824196,115,"ns_2014","ns",2014,0.783767413688674
"191","ns_2014",0.569513888888889,1,0.739027777777778,120,"ns_2014","ns",2014,0.770625822213869
"192","ns_2014",0.550416666666667,2,0.733055555555555,120,"ns_2014","ns",2014,0.750852595680182
"193","ns_2014",0.572986111111111,3,0.74875,120,"ns_2014","ns",2014,0.765256909664255
"194","ns_2014",0.586527777777778,4,0.744861111111111,120,"ns_2014","ns",2014,0.787432407234757
"195","ns_2014",0.568958333333333,5,0.731527777777778,120,"ns_2014","ns",2014,0.777767229922157
"196","ns_2014",0.5525,6,0.744583333333333,120,"ns_2014","ns",2014,0.742025741466145
"197","ns_2014",0.549791666666667,7,0.735694444444444,120,"ns_2014","ns",2014,0.747309797998867
"198","ns_2014",0.576388888888889,8,0.74,120,"ns_2014","ns",2014,0.778903903903904
"199","ns_2014",0.555138888888889,9,0.745277777777778,120,"ns_2014","ns",2014,0.744875139768916
"200","ns_2014",0.567222222222222,10,0.744166666666667,120,"ns_2014","ns",2014,0.762224710712953
"201","ns_2014",0.570304,1,0.722176,125,"ns_2014","ns",2014,0.789702233250621
"202","ns_2014",0.56064,2,0.74368,125,"ns_2014","ns",2014,0.753872633390705
"203","ns_2014",0.594432,3,0.748032,125,"ns_2014","ns",2014,0.794661190965092
"204","ns_2014",0.556416,4,0.731648,125,"ns_2014","ns",2014,0.760496850944716
"205","ns_2014",0.542848,5,0.749184,125,"ns_2014","ns",2014,0.724585682555954
"206","ns_2014",0.595584,6,0.744064,125,"ns_2014","ns",2014,0.80044727335283
"207","ns_2014",0.57056,7,0.73984,125,"ns_2014","ns",2014,0.771193771626298
"208","ns_2014",0.535616,8,0.731904,125,"ns_2014","ns",2014,0.731811822315495
"209","ns_2014",0.559616,9,0.74368,125,"ns_2014","ns",2014,0.752495697074011
"210","ns_2014",0.531328,10,0.743296,125,"ns_2014","ns",2014,0.714826933011882
"211","ns_2014",0.55207100591716,1,0.737988165680473,130,"ns_2014","ns",2014,0.74807568954458
"212","ns_2014",0.582485207100592,2,0.741301775147929,130,"ns_2014","ns",2014,0.785759897828863
"213","ns_2014",0.603313609467456,3,0.748757396449704,130,"ns_2014","ns",2014,0.805753121542595
"214","ns_2014",0.562603550295858,4,0.748757396449704,130,"ns_2014","ns",2014,0.751382961909278
"215","ns_2014",0.588579881656805,5,0.745917159763313,130,"ns_2014","ns",2014,0.789068697445661
